Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description
https://www.houseofweb3.io/learn,,-,0.06017105523025464,n/a,1,404,0.069,0,0,0,0,0,-,0,8,0,0,0,-,-,0,0,1,-
https://www.houseofweb3.io/pricing,,-,0.06017105523025464,n/a,1,404,0.096,0,0,0,0,0,-,0,8,0,0,0,-,-,0,0,1,-
https://www.houseofweb3.io/watchlist,,100,0.06017105523025464,n/a,1,200,0.134,0,0,0,0,0,-,0,8,0,0,0,-,-,5,116,6,-
https://www.houseofweb3.io/,,75,0.058096155513655864,n/a,0,200,0.012,0,0,0,0,0,-,0,8,11,3,0,-,-,15,257,8,-
https://www.houseofweb3.io/contact-us,,50,0.057554879122058866,n/a,1,200,0.097,0,0,0,0,0,-,0,7,8,3,0,-,-,14,250,7,-
https://www.houseofweb3.io/partnership,,50,0.057554879122058866,n/a,1,200,0.063,0,0,0,0,0,-,0,7,8,3,0,-,-,14,251,6,-
https://www.houseofweb3.io/sectors,,50,0.057554879122058866,n/a,1,200,0.088,0,0,0,0,0,-,0,7,8,3,0,-,-,17,256,6,-
https://www.houseofweb3.io/terms-and-condition,,50,0.057554879122058866,n/a,1,200,0.079,0,0,0,0,0,-,0,7,8,3,0,-,-,14,248,5,-
https://www.houseofweb3.io/sectors/blockchains-l1,,25,0.04374156638326544,n/a,1,200,0.126,0,0,0,0,0,-,0,1,8,3,0,-,-,17,256,9,-
https://www.houseofweb3.io/sectors/blockchains-l2,,25,0.04374156638326544,n/a,1,200,0.099,0,0,0,0,0,-,0,1,8,3,0,-,-,17,256,9,-
https://www.houseofweb3.io/sectors/infrastructure,,25,0.04374156638326544,n/a,1,200,0.147,0,0,0,0,0,-,0,1,8,3,0,-,-,17,256,9,-
https://houseofweb3.io/,,-,0.0,n/a,0,302,0.133,0,0,0,0,0,-,0,0,1,0,0,-,-,0,0,1,-
https://houseofweb3.io/robots.txt,,-,-,n/a,0,302,0.042,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-
https://houseofweb3.io/sitemap.xml,,-,-,n/a,0,302,0.024,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-
https://www.houseofweb3.io/robots.txt,,-,-,n/a,0,404,0.087,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,2,-
https://www.houseofweb3.io/sitemap.xml,,-,-,n/a,0,404,0.075,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,2,-
