month,source,total_fees,mom_change,avg_mom_change,stddev_mom_change,num_months
2024-04-01,automation,67939.46084758072,,-0.08008760931758903,0.5116151413977408,13
2024-04-01,ccip,98848.54011158487,,0.009141157048100923,0.6596989982341107,13
2024-04-01,fm,5614997.758175823,,-0.20989551767904832,0.4108114361781297,13
2024-04-01,ocr,0.0,,-0.22781204525964827,0.421958290453829,13
2024-04-01,vrf,31244.752470117477,,-0.2036716821229518,0.3310369401263438,13
2024-05-01,automation,65326.42687327729,-0.03846121152132275,-0.08008760931758903,0.5116151413977408,13
2024-05-01,ccip,75257.5047921389,-0.23865840904494182,0.009141157048100923,0.6596989982341107,13
2024-05-01,fm,5352319.879940756,-0.009000770194336972,-0.20989551767904832,0.4108114361781297,13
2024-05-01,ocr,0.0,-0.0714810907692749,-0.22781204525964827,0.421958290453829,13
2024-05-01,vrf,20580.17782983342,-0.3413237038918349,-0.2036716821229518,0.3310369401263438,13
